#cur_yr																																																		
2020																																																		
#styr																																																		
1960																																																		
#endyr																																																		
2022																																																		
#N_data_sets																																																		
1																																																		
#N_yrs_data_sets																																																		
43																																																		
#fshry_yrs																																																		
1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019								
#stage																																																		
2																																																		
#endage																																																		
11																																																		
#fishery																																																		
0.131623113	0.225381207	0.305609116	0.399994752	0.4697955	0.507204782	0.378561654	0.780043089	0.975552712	1.071536983																																									
0.072339126	0.225317679	0.299524403	0.348019144	0.38779451	0.396820568	0.370520567	0.423243425	0.975552712	1.071536983																																									
0.496326531	0.319155972	0.457021078	0.475804399	0.474895463	0.467701773	0.546479567	0.780043089	0.975552712	1.071536983																																									
0.365025586	0.317231219	0.44985521	0.519834734	0.58489731	0.629697439	0.546479567	0.780043089	0.975552712	1.071536983																																									
0.365025586	0.317231219	0.44985521	0.519834734	0.58489731	0.629697439	0.546479567	0.780043089	0.975552712	1.071536983																																									
0.365025586	0.273446328	0.442689342	0.563865069	0.694899156	0.794733395	0.546479567	0.780043089	0.975552712	1.071536983																																									
0.365025586	0.359091359	0.49875247	0.601136936	0.68554038	0.810195255	0.546479567	0.780043089	0.975552712	1.071536983																																									
0.2969163	0.41007078	0.617216022	0.706582619	0.777417916	0.801528858	0.89035648	0.909933449	0.975552712	1.071536983																																									
0.301833929	0.45219432	0.551901191	0.682441443	0.736515416	0.775105144	0.807233236	1.006952392	1.011235622	1.071536983																																									
0.14616561	0.33423729	0.528274418	0.545778195	0.78567782	0.752748037	0.829432753	0.857913602	0.953562744	1.052448871																																									
0.265344514	0.435179115	0.729131159	0.907993806	0.858657117	0.963920853	1.023286338	1.053797847	1.087653616	1.098160336																																									
0.19600648	0.350536277	0.469715363	0.564028424	0.624204497	0.694144237	0.78330914	0.817708506	0.849758868	1.064001741																																									
0.295457603	0.440218625	0.57747826	0.738552371	0.837921757	0.664199376	0.817180399	0.906067231	1.01	1.065261678																																									
0.361841124	0.510842285	0.728270845	0.877410935	0.88504942	0.98459424	1.38599675	1.039073679	1.444906685	1.441677801																																									
0.229813003	0.207287845	0.54043766	0.729167	0.68510751	0.65536484	0.75511093	1.013993169	0.742849888	1.021130068																																									
0.229813003	0.390048828	0.606889365	0.715312101	0.895201164	0.973320271	0.838723378	0.864553828	0.916284281	1.009917906																																									
0.229813003	0.572061025	0.625669812	0.681733286	0.773178226	0.826010349	0.782222823	1.040517158	0.811921932	1.009917906																																									
0.15	0.36291662	0.56827969	0.64878925	0.697438745	0.77687935	0.749226885	0.74371691	0.736403595	0.922354909																																									
0.092336598	0.228480865	0.519579265	0.667457255	0.68736737	0.690662535	0.70679917	0.721115805	0.640636545	0.908958052																																									
0.188128878	0.29360804	0.474428525	0.633365425	0.72813669	0.743444485	0.770080595	0.799184835	0.845978105	0.972507812																																									
0.229813003	0.39698642	0.664102403	0.68623564	0.862056185	0.903559519	0.971291428	0.88383615	0.951095034	1.107670675																																									
0.229813003	0.29616376	0.49448252	0.580319435	0.643736095	0.68207321	0.774683935	0.70743918	0.797509745	0.858439487																																									
0.2395717	0.406028125	0.56806612	0.707278825	0.75461039	0.838841575	0.979443275	1.1699481	1.141383515	0.960500485																																									
0.21542113	0.49662445	0.59439476	0.689179785	0.733554535	0.77796084	0.853969525	0.812946925	0.904457065	0.987781371																																									
0.223615175	0.41839487	0.56267652	0.719126045	0.76453233	0.840803985	0.82575219	0.946457015	0.911973335	1.109251512																																									
0.25301769	0.29291992	0.45933359	0.59975723	0.60147556	0.72298679	0.72188826	0.79146602	0.85100227	0.9402755																																									
0.207634267	0.30365457	0.420439875	0.53868943	0.666894955	0.746797225	0.731143375	0.668925625	0.824107995	0.996132366																																									
0.175849942	0.315625015	0.44377904	0.56695863	0.62385313	0.6790667	0.810196025	0.72845166	0.916284281	1.014808436																																									
0.24708391	0.406442155	0.48007824	0.536374585	0.557893245	0.65718744	0.966153668	1.183589993	0.942263874	1.009917906																																									
0.26532337	0.39330355	0.502898075	0.550778315	0.612661485	0.64727739	0.71446416	0.848494565	0.855647006	0.983524172																																									
0.24694309	0.437123356	0.546535709	0.714911918	0.696820204	0.768436821	0.778394139	0.775598309	1.272161265	1.033008535																																									
0.264539899	0.387556454	0.540453425	0.614886491	0.726822702	0.718778515	0.699928905	0.798152363	0.785755342	0.99784232																																									
0.214548464	0.395032333	0.493957737	0.605287091	0.667401881	0.733836711	0.74478843	0.769917747	0.816048026	0.813302409																																									
0.204185037	0.361720606	0.564659183	0.582890831	0.673174214	0.683882863	0.758393937	0.722940159	0.762297164	0.80330981																																									
0.219922091	0.444604355	0.640063676	0.8068258	0.753074437	0.770107994	0.797906715	0.931068554	0.913326147	0.899317616																																									
0.229904776	0.373798231	0.509219855	0.611736032	0.658007181	0.712835845	0.772325761	0.8218605	0.893889337	0.949143907																																									
0.266034215	0.280343557	0.606376535	0.676531179	0.740208628	0.867090774	0.822091349	0.80265641	0.821524413	1.092998774																																									
0.316418617	0.569083436	0.63394207	0.709190916	0.734920599	0.839948044	0.838485021	0.791230285	0.942418559	0.923142041																																									
0.178114051	0.375207114	0.603874373	0.619728399	0.679280605	0.70201253	0.735543154	0.77046415	0.76346177	0.863878434																																									
0.249023113	0.454561077	0.551763159	0.680151349	0.67879389	0.706472941	0.720255906	0.767483622	0.764165101	0.754177788																																									
0.256854	0.458189	0.626679	0.645702	0.756434	0.783282	0.795695	0.83797	0.809232	0.856983																																									
0.292200163	0.510627393	0.695319465	0.743768346	0.707962652	0.783132076	0.818648828	0.838820133	0.852409678	0.834882341																																									
0.425661	0.595446	0.664841	0.768855	0.783347	0.745908	0.847328	0.81075	0.817872	0.862319																																									
#fishery_std																																																		
0.013162311	0.022538121	0.030560912	0.039999475	0.04697955	0.050720478	0.037856165	0.078004309	0.097555271	0.107153698
0.007233913	0.022531768	0.02995244	0.034801914	0.038779451	0.039682057	0.037052057	0.042324343	0.097555271	0.107153698
0.049632653	0.031915597	0.045702108	0.04758044	0.047489546	0.046770177	0.054647957	0.078004309	0.097555271	0.107153698
0.036502559	0.031723122	0.044985521	0.051983473	0.058489731	0.062969744	0.054647957	0.078004309	0.097555271	0.107153698
0.036502559	0.031723122	0.044985521	0.051983473	0.058489731	0.062969744	0.054647957	0.078004309	0.097555271	0.107153698
0.036502559	0.027344633	0.044268934	0.056386507	0.069489916	0.079473339	0.054647957	0.078004309	0.097555271	0.107153698
0.036502559	0.035909136	0.049875247	0.060113694	0.068554038	0.081019526	0.054647957	0.078004309	0.097555271	0.107153698
0.02969163	0.041007078	0.061721602	0.070658262	0.077741792	0.080152886	0.089035648	0.090993345	0.097555271	0.107153698
0.030183393	0.045219432	0.055190119	0.068244144	0.073651542	0.077510514	0.080723324	0.100695239	0.101123562	0.107153698
0.014616561	0.033423729	0.052827442	0.054577819	0.078567782	0.075274804	0.082943275	0.08579136	0.095356274	0.105244887
0.026534451	0.043517912	0.072913116	0.090799381	0.085865712	0.096392085	0.102328634	0.105379785	0.108765362	0.109816034
0.019600648	0.035053628	0.046971536	0.056402842	0.06242045	0.069414424	0.078330914	0.081770851	0.084975887	0.106400174
0.02954576	0.044021863	0.057747826	0.073855237	0.083792176	0.066419938	0.08171804	0.090606723	0.101	0.106526168
0.036184112	0.051084229	0.072827085	0.087741094	0.088504942	0.098459424	0.138599675	0.103907368	0.144490669	0.14416778
0.0229813	0.020728785	0.054043766	0.0729167	0.068510751	0.065536484	0.075511093	0.101399317	0.074284989	0.102113007
0.0229813	0.039004883	0.060688937	0.07153121	0.089520116	0.097332027	0.083872338	0.086455383	0.091628428	0.100991791
0.0229813	0.057206103	0.062566981	0.068173329	0.077317823	0.082601035	0.078222282	0.104051716	0.081192193	0.100991791
0.015	0.036291662	0.056827969	0.064878925	0.069743875	0.077687935	0.074922689	0.074371691	0.07364036	0.092235491
0.00923366	0.022848087	0.051957927	0.066745726	0.068736737	0.069066254	0.070679917	0.072111581	0.064063655	0.090895805
0.018812888	0.029360804	0.047442853	0.063336543	0.072813669	0.074344449	0.07700806	0.079918484	0.084597811	0.097250781
0.0229813	0.039698642	0.06641024	0.068623564	0.086205619	0.090355952	0.097129143	0.088383615	0.095109503	0.110767068
0.0229813	0.029616376	0.049448252	0.058031944	0.06437361	0.068207321	0.077468394	0.070743918	0.079750975	0.085843949
0.02395717	0.040602813	0.056806612	0.070727883	0.075461039	0.083884158	0.097944328	0.11699481	0.114138352	0.096050049
0.021542113	0.049662445	0.059439476	0.068917979	0.073355454	0.077796084	0.085396953	0.081294693	0.090445707	0.098778137
0.022361518	0.041839487	0.056267652	0.071912605	0.076453233	0.084080399	0.082575219	0.094645702	0.091197334	0.110925151
0.025301769	0.029291992	0.045933359	0.059975723	0.060147556	0.072298679	0.072188826	0.079146602	0.085100227	0.09402755
0.020763427	0.030365457	0.042043988	0.053868943	0.066689496	0.074679723	0.073114338	0.066892563	0.082410799	0.099613237
0.017584994	0.031562502	0.044377904	0.056695863	0.062385313	0.06790667	0.081019603	0.072845166	0.091628428	0.101480844
0.024708391	0.040644216	0.048007824	0.053637459	0.055789325	0.065718744	0.096615367	0.118358999	0.094226387	0.100991791
0.026532337	0.039330355	0.050289808	0.055077832	0.061266149	0.064727739	0.071446416	0.084849457	0.085564701	0.098352417
0.024694309	0.043712336	0.054653571	0.071491192	0.06968202	0.076843682	0.077839414	0.077559831	0.127216127	0.103300854
0.02645399	0.038755645	0.054045343	0.061488649	0.07268227	0.071877852	0.069992891	0.079815236	0.078575534	0.099784232
0.021454846	0.039503233	0.049395774	0.060528709	0.066740188	0.073383671	0.074478843	0.076991775	0.081604803	0.081330241
0.020418504	0.036172061	0.056465918	0.058289083	0.067317421	0.068388286	0.075839394	0.072294016	0.076229716	0.080330981
0.021992209	0.044460436	0.064006368	0.08068258	0.075307444	0.077010799	0.079790672	0.093106855	0.091332615	0.089931762
0.022990478	0.037379823	0.050921986	0.061173603	0.065800718	0.071283584	0.077232576	0.08218605	0.089388934	0.094914391
0.026603422	0.028034356	0.060637654	0.067653118	0.074020863	0.086709077	0.082209135	0.080265641	0.082152441	0.109299877
0.031641862	0.056908344	0.063394207	0.070919092	0.07349206	0.083994804	0.083848502	0.079123029	0.094241856	0.092314204
0.017811405	0.037520711	0.060387437	0.06197284	0.067928061	0.070201253	0.073554315	0.077046415	0.076346177	0.086387843
0.024902311	0.045456108	0.055176316	0.068015135	0.067879389	0.070647294	0.072025591	0.076748362	0.07641651	0.075417779
0.0256854	0.0458189	0.0626679	0.0645702	0.0756434	0.0783282	0.0795695	0.083797	0.0809232	0.0856983
0.029220016	0.051062739	0.069531947	0.074376835	0.070796265	0.078313208	0.081864883	0.083882013	0.085240968	0.083488234
0.0425661	0.0595446	0.0664841	0.0768855	0.0783347	0.0745908	0.0847328	0.081075	0.0817872	0.0862319
